service_id,date,exception_type
3,20170904,1
1,20170904,2
9101,20170905,1
9101,20170906,1
9101,20170907,1
201,20170907,1
9201,20170908,1
201,20170908,1
9101,20170911,1
9101,20170912,1
9101,20170913,1
9101,20170914,1
201,20170914,1
9201,20170915,1
201,20170915,1
9101,20170918,1
9101,20170919,1
9101,20170920,1
9101,20170921,1
201,20170921,1
9201,20170922,1
201,20170922,1
9101,20170925,1
9101,20170926,1
9101,20170927,1
9101,20170928,1
201,20170928,1
9201,20170929,1
201,20170929,1
9101,20171002,1
9101,20171003,1
9101,20171004,1
9101,20171005,1
201,20171005,1
9201,20171006,1
201,20171006,1
9101,20171009,1
9101,20171010,1
9101,20171011,1
2401,20171011,1
9101,20171012,1
201,20171012,1
2401,20171012,1
9201,20171013,1
201,20171013,1
2403,20171015,1
9101,20171016,1
9101,20171017,1
9101,20171018,1
9101,20171019,1
201,20171019,1
9201,20171020,1
201,20171020,1
9101,20171023,1
9101,20171024,1
9101,20171025,1
9101,20171026,1
201,20171026,1
9201,20171027,1
201,20171027,1
9101,20171030,1
9101,20171031,1
9101,20171101,1
9101,20171102,1
201,20171102,1
9201,20171103,1
201,20171103,1
9101,20171106,1
9101,20171107,1
9101,20171108,1
9101,20171109,1
201,20171109,1
9201,20171110,1
201,20171110,1
9101,20171113,1
9101,20171114,1
9101,20171115,1
9101,20171116,1
201,20171116,1
9201,20171117,1
201,20171117,1
9101,20171120,1
9101,20171121,1
2401,20171121,1
9101,20171122,1
2401,20171122,1
3,20171123,1
1,20171123,2
9201,20171124,1
201,20171124,1
2402,20171125,1
2403,20171126,1
9101,20171127,1
9101,20171128,1
9101,20171129,1
9101,20171130,1
201,20171130,1
9201,20171201,1
201,20171201,1
9101,20171204,1
9101,20171205,1
9101,20171206,1
9101,20171207,1
201,20171207,1
9201,20171208,1
201,20171208,1
2403,20171210,1
9101,20171211,1
2401,20171211,1
9101,20171212,1
2401,20171212,1
9101,20171213,1
2401,20171213,1
9101,20171214,1
201,20171214,1
2401,20171214,1
9201,20171215,1
201,20171215,1
2401,20171215,1
2402,20171216,1
2403,20171217,1
9101,20171218,1
2401,20171218,1
9101,20171219,1
2401,20171219,1
9101,20171220,1
2401,20171220,1
9101,20171221,1
201,20171221,1
9201,20171222,1
201,20171222,1
3,20171225,1
1,20171225,2
9101,20171226,1
9101,20171227,1
9101,20171228,1
201,20171228,1
9201,20171229,1
201,20171229,1
